seed,days,cycles
"$'Kg""l?T_3",5,6
GP{m.se|{},5,4
Y^xli@XbrG,5,2
2su2UvrRBK,5,4
NY3nSs=k~E,5,1
"IqehS()sp,",5,1
",Uu+\8""o>W",5,1
sxD1/2z>.=,5,1
Y~wEF~0NTu,5,14
G`[*<(]EuQ,5,4
u?Jz]AZ<a|,5,9
VaqCqx:U$_,5,2
gtLVkrO{h\,5,1
xP_$I6wW'~,5,3
"`\,n%qgK`J",5,1
r[~9=1/1UE,5,9
X7bv*>f.FH,5,1
"k/ww,S]'s=",5,1
evNtIn{_6=,5,6
/y}aQ%BJED,5,1
'-&zw?^|h?,5,1
{{f!CZ]c`7,5,1
]r/(-<_VFb,5,1
OeV9KvbqU&,5,1
F-Y@!shcKA,5,1
"v9t6:""UFa#",5,2
-qFZS'bp@&,5,1
F)F6;s+`#V,5,1
Dn_J.-khrB,5,9
I4#I1RJ&jU,5,2
guIfOv]Zpi,5,1
q)Ad_a1M[l,5,2
wF+FJ\hEYv,5,1
"`Wv/6CR""0F",5,4
uxjR_N!m1I,5,7
23Ot7)7qT',5,1
X2p/I)hH:F,5,7
y<1H{ketd-,5,3
((:Am]UbO(,5,12
